ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,masculinity,likability,friends,typicality
23,3,20,2,3,atypical,737,745,1,6,7,6,6,5
23,4,20,2,3,atypical,750,743,2,5,5,6,4,4
23,5,20,2,3,atypical,748,740,2,6,6,8,6,6
23,6,20,2,3,atypical,750,736,2,4,5,5,4,4
23,7,20,2,3,atypical,721,733,2,4,6,7,4,5
23,8,20,2,3,atypical,748,730,3,6,6,8,6,5
23,9,20,2,3,atypical,744,722,2,4,6,6,5,5
23,10,20,2,3,atypical,737,719,3,4,6,5,5,6
23,11,20,2,3,atypical,744,716,2,4,6,5,4,4
23,12,20,2,3,atypical,721,714,1,3,6,6,4,6
23,13,20,2,3,atypical,748,713,2,5,6,6,6,5
23,14,20,2,3,atypical,750,710,2,6,6,7,5,7
23,15,20,2,3,atypical,737,709,2,5,6,6,5,8
23,16,20,2,3,atypical,748,707,2,4,6,5,4,7
23,17,20,2,3,atypical,744,706,2,7,6,6,5,4
23,18,20,2,3,atypical,737,704,2,4,6,5,4,5
23,19,20,2,3,atypical,721,703,1,5,6,5,4,7
23,20,20,2,3,atypical,750,701,2,6,6,5,5,6
24,1,27,2,4,typical,721,749,1,6,7,6,6,6
24,2,27,2,4,typical,744,746,2,6,6,6,6,7
24,3,27,2,4,typical,737,745,1,7,8,7,7,6
24,4,27,2,4,typical,750,743,3,8,8,8,8,8
24,5,27,2,4,typical,748,740,1,6,7,6,7,7
24,6,27,2,4,typical,750,736,1,6,6,7,6,6
24,7,27,2,4,typical,721,733,1,7,6,7,7,6
24,8,27,2,4,typical,748,730,3,6,6,6,6,6
24,9,27,2,4,typical,744,722,3,7,7,7,7,7
24,10,27,2,4,typical,737,719,1,7,7,7,7,7
24,11,27,2,4,typical,744,716,3,6,6,7,6,7
24,12,27,2,4,typical,721,714,1,7,6,7,7,7
24,13,27,2,4,typical,748,713,2,6,6,7,6,7
24,14,27,2,4,typical,750,710,1,7,6,7,7,6
24,15,27,2,4,typical,737,709,1,6,7,6,7,6
24,16,27,2,4,typical,748,707,2,7,6,7,6,6
24,17,27,2,4,typical,744,706,1,7,6,7,6,7
24,18,27,2,4,typical,737,704,1,5,6,5,5,6
24,19,27,2,4,typical,721,703,1,7,7,7,7,7
24,20,27,2,4,typical,750,701,3,6,6,5,6,4
25,1,23,2,1,atypical,721,749,2,7,7,6,5,4
25,2,23,2,1,atypical,744,746,2,6,7,7,7,7
25,3,23,2,1,atypical,737,745,3,3,3,4,3,8
25,4,23,2,1,atypical,750,743,2,6,6,7,7,7
25,5,23,2,1,atypical,748,740,3,7,5,6,7,8
25,6,23,2,1,atypical,750,736,3,6,4,5,3,9
25,7,23,2,1,atypical,721,733,1,5,3,4,5,8
25,8,23,2,1,atypical,748,730,2,5,3,6,6,4
25,9,23,2,1,atypical,744,722,2,7,8,7,5,9
25,10,23,2,1,atypical,737,719,1,4,3,5,4,9
25,11,23,2,1,atypical,744,716,2,3,4,4,3,9
25,12,23,2,1,atypical,721,714,2,5,7,2,2,9
25,13,23,2,1,atypical,748,713,2,3,5,4,2,9
25,14,23,2,1,atypical,750,710,2,6,4,7,6,9
25,15,23,2,1,atypical,737,709,3,7,4,6,6,9
25,16,23,2,1,atypical,748,707,3,4,4,5,4,9
25,17,23,2,1,atypical,744,706,3,6,4,6,3,8
25,18,23,2,1,atypical,737,704,3,2,2,3,3,6
25,19,23,2,1,atypical,721,703,1,7,6,6,6,9
25,20,23,2,1,atypical,750,701,3,5,2,7,7,6
26,1,32,2,1,atypical,750,701,2,5,2,5,5,4
26,2,32,2,1,atypical,721,703,2,6,6,6,6,6
26,3,32,2,1,atypical,737,704,3,5,5,5,6,7
26,4,32,2,1,atypical,744,706,2,7,5,6,6,7
26,5,32,2,1,atypical,748,707,2,4,4,4,4,6
26,6,32,2,1,atypical,737,709,2,6,6,6,6,7
26,7,32,2,1,atypical,750,710,2,7,7,6,6,7
26,8,32,2,1,atypical,748,713,2,4,6,5,5,6
