ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
4,12,30,1,4,female,masc,365,367,3,7,8,7,8,6
4,13,30,1,4,female,masc,173,371,3,9,9,9,9,9
4,14,30,1,4,female,masc,128,380,3,6,4,6,7,8
4,15,30,1,4,female,masc,354,406,1,9,9,8,9,8
4,16,30,1,4,female,masc,354,413,3,8,9,8,8,7
4,17,30,1,4,female,masc,377,417,2,7,7,8,8,8
4,18,30,1,4,female,masc,365,437,3,8,8,8,9,7
4,19,30,1,4,female,masc,173,508,3,8,7,7,8,8
4,20,30,1,4,female,masc,128,663,3,8,8,9,8,8
4,21,30,1,4,male,masc,721,749,2,8,8,8,8,8
4,22,30,1,4,male,masc,744,746,3,5,6,6,5,7
4,23,30,1,4,male,masc,737,745,2,8,8,8,8,8
4,24,30,1,4,male,masc,750,743,2,5,5,4,4,5
4,25,30,1,4,male,masc,748,740,2,6,6,7,7,7
4,26,30,1,4,male,masc,750,736,3,6,6,7,6,6
4,27,30,1,4,male,masc,721,733,2,7,7,9,8,8
4,28,30,1,4,male,masc,748,730,3,5,5,6,6,8
4,29,30,1,4,male,masc,744,722,3,5,6,8,8,8
4,30,30,1,4,male,masc,737,719,3,6,6,7,5,7
4,31,30,1,4,male,masc,744,716,3,3,6,5,4,6
4,32,30,1,4,male,masc,721,714,3,7,6,6,7,7
4,33,30,1,4,male,masc,748,713,2,6,6,6,7,6
4,34,30,1,4,male,masc,750,710,3,8,7,7,8,7
4,35,30,1,4,male,masc,737,709,1,7,6,7,7,7
4,36,30,1,4,male,masc,748,707,3,7,6,6,7,7
4,37,30,1,4,male,masc,744,706,1,7,6,6,7,6
4,38,30,1,4,male,masc,737,704,3,3,3,5,4,4
4,39,30,1,4,male,masc,721,703,2,6,7,6,6,7
4,40,30,1,4,male,masc,750,701,1,6,6,7,6,7
5,1,19,1,4,male,fem,750,701,2,3,4,7,7,6
5,2,19,1,4,male,fem,721,703,1,7,9,5,8,7
5,3,19,1,4,male,fem,737,704,2,9,6,7,6,7
5,4,19,1,4,male,fem,744,706,3,9,8,9,9,3
5,5,19,1,4,male,fem,748,707,2,9,9,9,9,3
5,6,19,1,4,male,fem,737,709,2,9,7,8,8,6
5,7,19,1,4,male,fem,750,710,2,9,7,9,7,9
5,8,19,1,4,male,fem,748,713,2,8,7,8,7,9
5,9,19,1,4,male,fem,721,714,1,4,2,7,9,8
5,10,19,1,4,male,fem,744,716,2,8,5,8,6,6
5,11,19,1,4,male,fem,737,719,2,1,1,7,9,5
5,12,19,1,4,male,fem,744,722,2,5,9,4,6,7
5,13,19,1,4,male,fem,748,730,3,3,6,7,5,3
5,14,19,1,4,male,fem,721,733,2,3,6,6,7,3
5,15,19,1,4,male,fem,750,736,3,5,7,6,7,8
5,16,19,1,4,male,fem,748,740,3,8,9,9,9,7
5,17,19,1,4,male,fem,750,743,2,1,3,7,9,4
5,18,19,1,4,male,fem,737,745,2,4,6,6,4,7
5,19,19,1,4,male,fem,744,746,2,7,6,7,7,6
5,20,19,1,4,male,fem,721,749,2,5,7,7,8,9
5,21,19,1,4,female,fem,377,103,2,9,8,9,8,9
5,22,19,1,4,female,fem,365,122,3,9,8,9,9,5
5,23,19,1,4,female,fem,173,121,2,3,6,5,9,6
5,24,19,1,4,female,fem,354,144,1,9,9,9,9,1
5,25,19,1,4,female,fem,128,199,3,9,7,9,6,8
5,26,19,1,4,female,fem,365,315,3,9,9,8,9,3
5,27,19,1,4,female,fem,354,319,3,1,9,6,5,7
5,28,19,1,4,female,fem,128,323,1,9,9,8,9,7
5,29,19,1,4,female,fem,377,333,3,9,9,8,9,5
5,30,19,1,4,female,fem,173,338,2,7,6,7,6,4
5,31,19,1,4,female,fem,377,354,2,5,7,5,9,5
5,32,19,1,4,female,fem,365,367,2,6,7,6,6,7
5,33,19,1,4,female,fem,173,371,2,5,7,6,6,8
5,34,19,1,4,female,fem,128,380,2,1,1,9,9,1
5,35,19,1,4,female,fem,354,406,2,7,9,8,9,4
5,36,19,1,4,female,fem,354,413,3,9,9,9,8,4
5,37,19,1,4,female,fem,377,417,2,9,8,8,6,7
5,38,19,1,4,female,fem,365,437,3,9,9,9,9,4
5,39,19,1,4,female,fem,173,508,2,8,5,5,7,3
5,40,19,1,4,female,fem,128,663,2,9,9,9,9,1
6,1,24,2,4,female,masc,128,663,1,7,7,8,8,6
6,2,24,2,4,female,masc,173,508,3,7,4,6,6,4
6,3,24,2,4,female,masc,365,437,2,6,6,7,7,7
6,4,24,2,4,female,masc,377,417,3,8,6,8,9,5
