ID,trial,Computer,Age,Sex,Race,Politics,SO,Education,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
6,20,3,24,2,4,4,1,4,female,masc,377,103,1,8,8,9,9,1
6,21,3,24,2,4,4,1,4,male,masc,721,749,1,6,7,7,6,5
6,22,3,24,2,4,4,1,4,male,masc,744,746,3,6,6,6,6,5
6,23,3,24,2,4,4,1,4,male,masc,737,745,1,7,5,6,4,3
6,24,3,24,2,4,4,1,4,male,masc,750,743,2,8,5,7,7,1
6,25,3,24,2,4,4,1,4,male,masc,748,740,1,4,4,5,5,4
6,26,3,24,2,4,4,1,4,male,masc,750,736,3,6,4,5,5,8
6,27,3,24,2,4,4,1,4,male,masc,721,733,1,4,3,7,5,9
6,28,3,24,2,4,4,1,4,male,masc,748,730,3,6,6,7,6,2
6,29,3,24,2,4,4,1,4,male,masc,744,722,3,8,7,8,8,5
6,30,3,24,2,4,4,1,4,male,masc,737,719,1,4,3,4,2,3
6,31,3,24,2,4,4,1,4,male,masc,744,716,3,2,1,3,1,5
6,32,3,24,2,4,4,1,4,male,masc,721,714,1,3,3,1,1,9
6,33,3,24,2,4,4,1,4,male,masc,748,713,3,4,5,5,5,4
6,34,3,24,2,4,4,1,4,male,masc,750,710,3,8,6,8,9,7
6,35,3,24,2,4,4,1,4,male,masc,737,709,1,6,4,7,8,5
6,36,3,24,2,4,4,1,4,male,masc,748,707,1,2,1,2,1,9
6,37,3,24,2,4,4,1,4,male,masc,744,706,1,6,6,5,6,2
6,38,3,24,2,4,4,1,4,male,masc,737,704,1,2,1,5,2,6
6,39,3,24,2,4,4,1,4,male,masc,721,703,1,9,6,9,9,4
6,40,3,24,2,4,4,1,4,male,masc,750,701,3,3,1,6,2,6
7,1,5,19,2,3,5,6,2,female,masc,377,103,1,6,8,8,9,5
7,2,5,19,2,3,5,6,2,female,masc,365,112,1,3,4,7,6,7
7,3,5,19,2,3,5,6,2,female,masc,173,121,1,6,7,8,8,5
7,4,5,19,2,3,5,6,2,female,masc,354,144,1,7,9,7,6,6
7,5,5,19,2,3,5,6,2,female,masc,128,199,1,3,5,4,2,6
7,6,5,19,2,3,5,6,2,female,masc,365,315,1,6,8,6,8,5
7,7,5,19,2,3,5,6,2,female,masc,354,319,1,7,8,8,9,5
7,8,5,19,2,3,5,6,2,female,masc,128,323,1,1,6,1,1,9
7,9,5,19,2,3,5,6,2,female,masc,377,333,1,3,8,2,1,5
7,10,5,19,2,3,5,6,2,female,masc,173,338,1,1,7,1,1,9
7,11,5,19,2,3,5,6,2,female,masc,377,354,1,6,9,5,4,5
7,12,5,19,2,3,5,6,2,female,masc,365,367,2,9,5,9,9,3
