ID,trial,Computer,Age,Sex,Race,Politics,SO,Education,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
4,30,4,18,2,1,4,3,2,male,atypical,737,719,1,2,4,5,4,7
4,31,4,18,2,1,4,3,2,male,atypical,744,716,3,4,7,6,5,4
4,32,4,18,2,1,4,3,2,male,atypical,721,714,1,6,6,4,4,6
4,33,4,18,2,1,4,3,2,male,atypical,748,713,3,3,4,4,4,6
4,34,4,18,2,1,4,3,2,male,atypical,750,710,3,6,4,6,6,7
4,35,4,18,2,1,4,3,2,male,atypical,737,709,1,6,5,6,6,5
4,36,4,18,2,1,4,3,2,male,atypical,748,707,2,2,3,4,3,7
4,37,4,18,2,1,4,3,2,male,atypical,744,706,3,4,3,4,4,5
4,38,4,18,2,1,4,3,2,male,atypical,737,704,1,3,3,2,3,7
4,39,4,18,2,1,4,3,2,male,atypical,721,703,1,5,6,5,4,7
4,40,4,18,2,1,4,3,2,male,atypical,750,701,3,3,3,5,6,5
5,1,9,18,1,4,1,1,2,female,atypical,377,103,1,6,8,7,4,7
5,2,9,18,1,4,1,1,2,female,atypical,365,112,1,8,7,8,8,8
5,3,9,18,1,4,1,1,2,female,atypical,173,121,1,6,7,7,5,7
5,4,9,18,1,4,1,1,2,female,atypical,354,144,2,7,8,7,7,8
5,5,9,18,1,4,1,1,2,female,atypical,128,199,1,7,6,6,5,6
5,6,9,18,1,4,1,1,2,female,atypical,365,315,1,3,6,4,3,6
5,7,9,18,1,4,1,1,2,female,atypical,354,319,2,5,7,6,3,7
5,8,9,18,1,4,1,1,2,female,atypical,128,323,1,7,7,6,7,8
5,9,9,18,1,4,1,1,2,female,atypical,377,333,2,6,6,5,5,6
5,10,9,18,1,4,1,1,2,female,atypical,173,338,1,6,7,7,6,8
5,11,9,18,1,4,1,1,2,female,atypical,377,354,1,7,8,8,7,8
5,12,9,18,1,4,1,1,2,female,atypical,365,367,1,8,7,8,8,7
5,13,9,18,1,4,1,1,2,female,atypical,173,371,1,5,7,7,6,7
5,14,9,18,1,4,1,1,2,female,atypical,128,380,3,4,7,7,3,8
5,15,9,18,1,4,1,1,2,female,atypical,354,406,1,6,8,7,5,7
5,16,9,18,1,4,1,1,2,female,atypical,354,413,1,4,8,7,4,8
5,17,9,18,1,4,1,1,2,female,atypical,377,417,1,7,8,8,7,8
