ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
5,38,18,1,4,male,atypical,737,745,1,4,8,6,4,7
5,39,18,1,4,male,atypical,744,746,2,6,8,6,5,6
5,40,18,1,4,male,atypical,721,749,1,5,6,7,5,6
6,1,31,1,5,male,typical,750,701,1,4,2,5,3,6
6,2,31,1,5,male,typical,721,703,1,5,6,5,5,6
6,3,31,1,5,male,typical,737,704,1,3,2,6,7,5
6,4,31,1,5,male,typical,744,706,1,7,3,6,6,5
6,5,31,1,5,male,typical,748,707,1,5,7,2,2,8
6,6,31,1,5,male,typical,737,709,1,3,4,6,6,8
6,7,31,1,5,male,typical,750,710,1,4,7,6,3,7
6,8,31,1,5,male,typical,748,713,2,7,6,8,7,8
6,9,31,1,5,male,typical,721,714,1,7,6,8,7,7
6,10,31,1,5,male,typical,744,716,2,2,3,7,7,3
6,11,31,1,5,male,typical,737,719,2,7,6,7,5,3
6,12,31,1,5,male,typical,744,722,1,7,7,8,7,7
6,13,31,1,5,male,typical,748,730,1,7,6,7,7,8
6,14,31,1,5,male,typical,721,733,1,4,6,3,2,6
6,15,31,1,5,male,typical,750,736,1,7,7,8,7,5
6,16,31,1,5,male,typical,748,740,1,7,6,8,7,8
6,17,31,1,5,male,typical,750,743,1,3,4,7,6,7
6,18,31,1,5,male,typical,737,745,1,3,6,8,6,4
6,19,31,1,5,male,typical,744,746,2,6,7,6,5,7
6,20,31,1,5,male,typical,721,749,1,6,7,7,5,3
6,21,31,1,5,female,typical,377,103,2,4,7,7,6,2
6,22,31,1,5,female,typical,365,122,2,8,4,7,8,6
6,23,31,1,5,female,typical,173,121,2,7,6,8,7,7
6,24,31,1,5,female,typical,354,144,2,4,5,7,6,7
6,25,31,1,5,female,typical,128,199,2,7,5,8,7,7
6,26,31,1,5,female,typical,365,315,2,4,6,7,7,4
6,27,31,1,5,female,typical,354,319,2,8,6,7,7,6
6,28,31,1,5,female,typical,128,323,2,3,7,3,2,7
6,29,31,1,5,female,typical,377,333,2,3,5,6,4,5
6,30,31,1,5,female,typical,173,338,2,4,3,5,4,7
6,31,31,1,5,female,typical,377,354,2,4,6,7,7,4
6,32,31,1,5,female,typical,365,367,2,3,7,4,5,4
6,33,31,1,5,female,typical,173,371,2,7,6,7,6,7
6,34,31,1,5,female,typical,128,380,2,6,7,4,6,3
6,35,31,1,5,female,typical,354,406,2,6,8,7,6,8
6,36,31,1,5,female,typical,354,413,2,4,7,8,8,5
6,37,31,1,5,female,typical,377,417,1,8,6,8,7,8
6,38,31,1,5,female,typical,365,437,2,6,4,8,7,7
6,39,31,1,5,female,typical,173,508,2,6,4,8,6,7
6,40,31,1,5,female,typical,128,663,2,3,7,7,6,5
8,1,22,2,2,female,atypical,128,663,1,6,6,8,8,8
8,2,22,2,2,female,atypical,173,508,1,8,9,8,8,8
8,3,22,2,2,female,atypical,365,437,1,8,7,8,8,8
8,4,22,2,2,female,atypical,377,417,1,8,8,8,8,8
8,5,22,2,2,female,atypical,354,413,1,9,9,9,9,9
8,6,22,2,2,female,atypical,354,406,1,9,9,9,9,9
8,7,22,2,2,female,atypical,128,380,1,8,6,8,8,6
8,8,22,2,2,female,atypical,173,371,1,8,8,8,8,8
8,9,22,2,2,female,atypical,365,367,3,7,5,7,8,6
8,10,22,2,2,female,atypical,377,354,1,9,9,8,8,8
8,11,22,2,2,female,atypical,173,338,1,8,8,8,8,8
8,12,22,2,2,female,atypical,377,333,1,6,4,7,6,5
8,13,22,2,2,female,atypical,128,323,3,8,8,8,8,6
8,14,22,2,2,female,atypical,354,319,3,7,7,7,7,7
8,15,22,2,2,female,atypical,365,315,1,7,7,7,7,7
8,16,22,2,2,female,atypical,128,199,1,9,6,8,8,8
8,17,22,2,2,female,atypical,354,144,1,8,8,8,8,8
8,18,22,2,2,female,atypical,173,121,1,8,7,8,8,8
8,19,22,2,2,female,atypical,365,112,3,7,4,8,8,6
8,20,22,2,2,female,atypical,377,103,1,8,8,8,8,8
8,21,22,2,2,male,atypical,750,701,2,5,3,5,5,5
8,22,22,2,2,male,atypical,721,703,2,7,7,7,7,7
8,23,22,2,2,male,atypical,737,704,3,3,3,3,3,6
8,24,22,2,2,male,atypical,744,706,2,7,7,7,7,7
8,25,22,2,2,male,atypical,748,707,2,5,5,5,5,5
8,26,22,2,2,male,atypical,737,709,3,7,7,7,7,7
8,27,22,2,2,male,atypical,750,710,2,7,7,7,7,7
8,28,22,2,2,male,atypical,748,713,2,7,7,7,7,7
8,29,22,2,2,male,atypical,721,714,1,9,9,9,9,9
8,30,22,2,2,male,atypical,744,716,2,8,9,9,9,9
8,31,22,2,2,male,atypical,737,719,2,7,7,7,7,7
8,32,22,2,2,male,atypical,744,722,2,8,8,8,8,8
8,33,22,2,2,male,atypical,748,730,3,8,8,8,8,8
8,34,22,2,2,male,atypical,721,733,1,7,7,7,7,7
8,35,22,2,2,male,atypical,750,736,2,8,8,8,8,8
8,36,22,2,2,male,atypical,748,740,2,7,7,7,7,7
8,37,22,2,2,male,atypical,750,743,3,6,6,6,6,4
8,38,22,2,2,male,atypical,737,745,3,8,8,8,8,9
8,39,22,2,2,male,atypical,744,746,2,9,9,9,9,9
8,40,22,2,2,male,atypical,721,749,1,9,9,9,9,9
9,1,43,1,4,male,typical,721,749,1,3,5,3,4,5
9,2,43,1,4,male,typical,744,746,2,5,3,4,6,4
9,3,43,1,4,male,typical,737,745,2,4,6,4,3,5
9,4,43,1,4,male,typical,750,743,2,4,5,3,4,6
9,5,43,1,4,male,typical,748,740,2,4,6,4,5,7
9,6,43,1,4,male,typical,750,736,2,5,4,6,3,7
9,7,43,1,4,male,typical,721,733,2,3,4,5,4,6
9,8,43,1,4,male,typical,748,730,2,5,3,4,4,6
9,9,43,1,4,male,typical,744,722,2,5,3,4,5,7
9,10,43,1,4,male,typical,737,719,2,4,6,4,3,5
9,11,43,1,4,male,typical,744,716,1,5,3,4,6,4
9,12,43,1,4,male,typical,721,714,2,5,3,4,5,7
9,13,43,1,4,male,typical,748,713,2,5,4,3,4,5
9,14,43,1,4,male,typical,750,710,1,4,3,3,3,5
9,15,43,1,4,male,typical,737,709,1,7,4,3,5,3
9,16,43,1,4,male,typical,748,707,2,3,5,3,4,5
9,17,43,1,4,male,typical,744,706,2,3,5,4,3,5
9,18,43,1,4,male,typical,737,704,2,6,4,3,4,6
9,19,43,1,4,male,typical,721,703,1,4,3,2,4,5
9,20,43,1,4,male,typical,750,701,1,4,3,4,5,3
9,21,43,1,4,female,typical,128,663,2,5,4,5,3,2
9,22,43,1,4,female,typical,173,508,2,3,5,4,3,4
9,23,43,1,4,female,typical,365,437,2,5,3,4,6,7
9,24,43,1,4,female,typical,377,417,1,6,5,3,5,7
9,25,43,1,4,female,typical,354,413,1,6,4,6,5,4
9,26,43,1,4,female,typical,354,406,2,2,4,5,4,6
9,27,43,1,4,female,typical,128,380,2,7,6,5,4,6
9,28,43,1,4,female,typical,173,371,2,6,4,3,4,6
9,29,43,1,4,female,typical,365,367,2,5,3,5,4,6
9,30,43,1,4,female,typical,377,354,1,5,4,5,4,3
9,31,43,1,4,female,typical,173,338,2,6,4,5,6,4
9,32,43,1,4,female,typical,377,333,2,5,4,3,4,6
9,33,43,1,4,female,typical,128,323,1,5,3,4,5,7
9,34,43,1,4,female,typical,354,319,2,2,4,5,4,6
9,35,43,1,4,female,typical,365,315,1,7,5,4,5,3
9,36,43,1,4,female,typical,128,199,1,5,4,6,4,2
9,37,43,1,4,female,typical,354,144,2,4,3,4,5,4
9,38,43,1,4,female,typical,173,121,2,6,5,4,5,6
9,39,43,1,4,female,typical,365,112,2,6,4,6,5,4
9,40,43,1,4,female,typical,377,103,2,6,5,4,6,5
10,1,23,2,4,female,atypical,377,103,2,6,6,7,6,6
10,2,23,2,4,female,atypical,365,112,1,7,6,7,8,8
10,3,23,2,4,female,atypical,173,121,3,5,6,6,5,5
10,4,23,2,4,female,atypical,354,144,2,7,7,7,7,6
10,5,23,2,4,female,atypical,128,199,3,8,8,7,6,7
10,6,23,2,4,female,atypical,365,315,2,2,2,2,3,4
10,7,23,2,4,female,atypical,354,319,2,2,2,2,3,3
10,8,23,2,4,female,atypical,128,323,2,4,5,4,3,5
10,9,23,2,4,female,atypical,377,333,1,3,2,3,2,2
10,10,23,2,4,female,atypical,173,338,2,5,6,6,6,6
10,11,23,2,4,female,atypical,377,354,2,4,6,5,5,5
10,12,23,2,4,female,atypical,365,367,2,4,3,4,4,4
10,13,23,2,4,female,atypical,173,371,2,6,6,6,7,7
10,14,23,2,4,female,atypical,128,380,2,7,6,8,8,7
10,15,23,2,4,female,atypical,354,406,2,6,7,7,6,7
10,16,23,2,4,female,atypical,354,413,2,4,8,5,5,6
10,17,23,2,4,female,atypical,377,417,3,6,7,6,6,7
10,18,23,2,4,female,atypical,365,437,3,5,4,5,5,5
10,19,23,2,4,female,atypical,173,508,1,5,5,5,6,4
10,20,23,2,4,female,atypical,128,663,2,6,5,6,6,6
10,21,23,2,4,male,atypical,721,749,2,9,8,9,9,8
10,22,23,2,4,male,atypical,744,746,2,7,9,8,8,8
10,23,23,2,4,male,atypical,737,745,2,3,4,5,5,4
10,24,23,2,4,male,atypical,750,743,2,2,2,4,4,3
10,25,23,2,4,male,atypical,748,740,2,7,7,8,8,8
10,26,23,2,4,male,atypical,750,736,2,6,6,5,4,4
10,27,23,2,4,male,atypical,721,733,2,4,4,5,5,4
10,28,23,2,4,male,atypical,748,730,2,6,8,8,8,8
10,29,23,2,4,male,atypical,744,722,2,8,6,8,8,6
10,30,23,2,4,male,atypical,737,719,2,7,6,7,7,7
10,31,23,2,4,male,atypical,744,716,2,5,3,4,4,4
10,32,23,2,4,male,atypical,721,714,2,7,9,7,7,7
10,33,23,2,4,male,atypical,748,713,2,6,9,6,6,6
10,34,23,2,4,male,atypical,750,710,2,9,8,8,8,8
10,35,23,2,4,male,atypical,737,709,3,7,6,7,7,7
10,36,23,2,4,male,atypical,748,707,2,7,3,7,7,6
10,37,23,2,4,male,atypical,744,706,2,6,4,6,6,5
10,38,23,2,4,male,atypical,737,704,2,4,3,4,5,5
10,39,23,2,4,male,atypical,721,703,3,9,8,8,8,6
10,40,23,2,4,male,atypical,750,701,2,4,2,5,5,4
11,1,22,2,1,male,typical,750,701,1,2,2,7,7,7
11,2,22,2,1,male,typical,721,703,1,8,7,9,9,8
11,3,22,2,1,male,typical,737,704,1,4,5,4,3,7
