ID,trial,Age,Sex,Race,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
8,19,24,2,4,typical,173,508,3,5,5,5,5,3
8,20,24,2,4,typical,128,663,3,5,5,5,5,2
9,1,33,2,4,typical,128,663,2,4,4,6,6,5
9,2,33,2,4,typical,173,508,2,4,4,6,6,5
9,3,33,2,4,typical,365,437,2,5,5,5,5,5
9,4,33,2,4,typical,377,417,2,5,5,6,6,6
9,5,33,2,4,typical,354,413,2,6,7,7,6,5
9,6,33,2,4,typical,354,406,1,5,6,6,6,6
9,7,33,2,4,typical,128,380,3,5,5,6,6,5
9,8,33,2,4,typical,173,371,3,6,6,6,6,6
9,9,33,2,4,typical,365,367,2,5,5,6,6,5
9,10,33,2,4,typical,377,354,2,7,7,6,6,6
9,11,33,2,4,typical,173,338,3,6,6,6,6,6
9,12,33,2,4,typical,377,333,3,5,6,6,6,6
9,13,33,2,4,typical,128,323,2,5,5,6,6,5
9,14,33,2,4,typical,354,319,2,5,5,6,6,5
9,15,33,2,4,typical,365,315,2,5,5,6,6,5
9,16,33,2,4,typical,128,199,2,6,6,6,6,6
9,17,33,2,4,typical,354,144,2,6,6,6,6,5
9,18,33,2,4,typical,173,121,2,5,6,6,6,6
9,19,33,2,4,typical,365,112,2,6,6,6,6,5
9,20,33,2,4,typical,377,103,2,6,6,6,6,5
10,1,47,1,4,atypical,128,663,2,6,6,6,6,6
10,2,47,1,4,atypical,173,508,3,6,6,6,6,6
10,3,47,1,4,atypical,365,437,3,6,6,6,6,6
10,4,47,1,4,atypical,377,417,3,6,6,6,6,6
10,5,47,1,4,atypical,354,413,2,8,8,8,8,8
10,6,47,1,4,atypical,354,406,3,8,8,8,8,8
10,7,47,1,4,atypical,128,380,3,8,8,8,8,8
10,8,47,1,4,atypical,173,371,2,8,8,8,8,8
10,9,47,1,4,atypical,365,367,3,8,8,8,8,8
10,10,47,1,4,atypical,377,354,1,8,8,8,8,8
10,11,47,1,4,atypical,173,338,3,8,8,8,8,8
10,12,47,1,4,atypical,377,333,3,8,8,8,8,8
10,13,47,1,4,atypical,128,323,1,8,8,8,8,8
10,14,47,1,4,atypical,354,319,1,8,8,8,8,8
10,15,47,1,4,atypical,365,315,1,7,7,7,7,7
10,16,47,1,4,atypical,128,199,1,8,8,8,8,8
10,17,47,1,4,atypical,354,144,2,8,8,8,8,8
10,18,47,1,4,atypical,173,121,2,8,8,8,8,8
10,19,47,1,4,atypical,365,112,3,7,7,7,7,7
10,20,47,1,4,atypical,377,103,3,8,8,8,8,8
11,1,19,2,4,typical,377,103,2,3,4,8,8,7
11,2,19,2,4,typical,365,122,2,8,7,8,8,7
11,3,19,2,4,typical,173,121,2,9,8,9,9,6
11,4,19,2,4,typical,354,144,2,8,8,9,9,6
11,5,19,2,4,typical,128,199,3,6,5,6,6,7
11,6,19,2,4,typical,365,315,2,5,5,5,4,5
11,7,19,2,4,typical,354,319,3,8,8,8,8,8
11,8,19,2,4,typical,128,323,3,2,2,3,3,4
11,9,19,2,4,typical,377,333,2,4,3,4,6,5
11,10,19,2,4,typical,173,338,2,7,8,7,7,7
11,11,19,2,4,typical,377,354,3,5,8,5,4,6
11,12,19,2,4,typical,365,367,2,7,6,7,7,6
11,13,19,2,4,typical,173,371,2,4,4,4,4,5
11,14,19,2,4,typical,128,380,2,7,4,5,7,3
11,15,19,2,4,typical,354,406,3,2,8,2,2,5
11,16,19,2,4,typical,354,413,3,8,8,8,8,7
11,17,19,2,4,typical,377,417,3,3,4,4,4,5
11,18,19,2,4,typical,365,437,3,6,5,5,5,6
11,19,19,2,4,typical,173,508,2,9,8,9,9,4
11,20,19,2,4,typical,128,663,2,7,6,7,8,6
12,1,28,1,4,atypical,377,103,1,4,6,6,7,6
12,2,28,1,4,atypical,365,112,3,6,5,5,6,4
12,3,28,1,4,atypical,173,121,1,6,7,7,7,3
12,4,28,1,4,atypical,354,144,1,8,8,9,9,1
12,5,28,1,4,atypical,128,199,1,5,5,6,6,9
12,6,28,1,4,atypical,365,315,1,3,5,3,3,1
12,7,28,1,4,atypical,354,319,1,7,7,6,8,4
12,8,28,1,4,atypical,128,323,1,3,7,5,5,6
12,9,28,1,4,atypical,377,333,1,2,2,1,1,2
12,10,28,1,4,atypical,173,338,1,5,4,5,5,3
12,11,28,1,4,atypical,377,354,1,3,6,2,3,1
12,12,28,1,4,atypical,365,367,1,2,2,1,2,2
12,13,28,1,4,atypical,173,371,1,6,6,6,7,9
12,14,28,1,4,atypical,128,380,1,8,7,8,8,2
12,15,28,1,4,atypical,354,406,1,9,9,9,9,1
12,16,28,1,4,atypical,354,413,1,9,9,9,9,2
12,17,28,1,4,atypical,377,417,1,2,4,3,3,5
12,18,28,1,4,atypical,365,437,1,2,2,4,4,2
12,19,28,1,4,atypical,173,508,1,1,1,3,3,1
12,20,28,1,4,atypical,128,663,1,3,4,4,5,2
13,1,21,2,3,typical,128,663,2,7,5,6,7,6
13,2,21,2,3,typical,173,508,2,3,3,4,5,5
13,3,21,2,3,typical,365,437,2,4,4,4,4,4
13,4,21,2,3,typical,377,417,2,2,2,2,2,2
13,5,21,2,3,typical,354,413,2,2,5,4,4,5
13,6,21,2,3,typical,354,406,2,7,8,7,7,7
13,7,21,2,3,typical,128,380,1,1,1,1,1,1
13,8,21,2,3,typical,173,371,1,4,4,4,4,4
13,9,21,2,3,typical,365,367,2,1,1,1,2,1
13,10,21,2,3,typical,377,354,2,2,2,3,3,3
13,11,21,2,3,typical,173,338,2,2,2,2,2,2
13,12,21,2,3,typical,377,333,2,6,4,6,7,6
13,13,21,2,3,typical,128,323,2,5,4,5,6,5
13,14,21,2,3,typical,354,319,2,2,2,3,3,3
13,15,21,2,3,typical,365,315,2,2,2,3,3,3
13,16,21,2,3,typical,128,199,3,5,3,5,5,5
13,17,21,2,3,typical,354,144,2,4,4,5,5,5
13,18,21,2,3,typical,173,121,2,8,5,7,8,8
13,19,21,2,3,typical,365,112,2,7,3,5,6,5
13,20,21,2,3,typical,377,103,2,3,3,4,3,4
14,1,38,1,4,atypical,128,663,2,5,5,5,5,6
14,2,38,1,4,atypical,173,508,2,4,5,6,5,6
14,3,38,1,4,atypical,365,437,2,5,4,5,4,4
14,4,38,1,4,atypical,377,417,1,6,6,5,5,6
14,5,38,1,4,atypical,354,413,2,6,7,7,6,6
14,6,38,1,4,atypical,354,406,2,7,8,7,6,6
14,7,38,1,4,atypical,128,380,1,6,5,4,5,5
14,8,38,1,4,atypical,173,371,1,4,6,5,4,6
14,9,38,1,4,atypical,365,367,2,4,5,5,5,6
14,10,38,1,4,atypical,377,354,1,5,6,6,5,6
14,11,38,1,4,atypical,173,338,1,6,6,6,5,6
14,12,38,1,4,atypical,377,333,1,6,6,6,5,5
14,13,38,1,4,atypical,128,323,2,5,5,5,4,6
14,14,38,1,4,atypical,354,319,1,5,6,6,5,6
14,15,38,1,4,atypical,365,315,2,5,6,5,5,4
14,16,38,1,4,atypical,128,199,1,6,5,6,4,5
14,17,38,1,4,atypical,354,144,2,6,6,6,5,6
14,18,38,1,4,atypical,173,121,1,5,6,6,6,5
14,19,38,1,4,atypical,365,112,2,6,6,6,5,6
