ID,trial,Computer,Age,Sex,SO,Race,Politics,Education,condition,adaptor,voice,pitch.judgement,attraction,femininity,likability,friends,typicality
6,19,6,29,1,1,2,4,7,typical,173,508,3,7,8,7,7,3
6,20,6,29,1,1,2,4,7,typical,128,663,2,3,6,6,7,7
7,1,10,23,2,3,3,4,3,atypical,377,103,2,2,3,4,5,5
7,2,10,23,2,3,3,4,3,atypical,365,112,3,3,3,3,5,4
7,3,10,23,2,3,3,4,3,atypical,173,121,1,3,4,4,5,4
7,4,10,23,2,3,3,4,3,atypical,354,144,2,4,5,4,5,4
7,5,10,23,2,3,3,4,3,atypical,128,199,3,1,2,3,5,5
7,6,10,23,2,3,3,4,3,atypical,365,315,2,1,3,2,5,5
7,7,10,23,2,3,3,4,3,atypical,354,319,3,3,3,4,5,5
7,8,10,23,2,3,3,4,3,atypical,128,323,3,1,2,3,4,5
7,9,10,23,2,3,3,4,3,atypical,377,333,1,5,4,5,7,6
7,10,10,23,2,3,3,4,3,atypical,173,338,1,1,3,2,4,4
7,11,10,23,2,3,3,4,3,atypical,377,354,2,1,3,2,5,4
7,12,10,23,2,3,3,4,3,atypical,365,367,2,1,2,2,5,6
7,13,10,23,2,3,3,4,3,atypical,173,371,1,1,2,2,4,5
7,14,10,23,2,3,3,4,3,atypical,128,380,3,2,2,3,5,3
7,15,10,23,2,3,3,4,3,atypical,354,406,2,1,2,1,4,5
7,16,10,23,2,3,3,4,3,atypical,354,413,1,2,3,2,4,5
7,17,10,23,2,3,3,4,3,atypical,377,417,1,1,2,2,4,5
7,18,10,23,2,3,3,4,3,atypical,365,437,3,1,2,2,5,4
7,19,10,23,2,3,3,4,3,atypical,173,508,1,1,2,1,3,3
7,20,10,23,2,3,3,4,3,atypical,128,663,2,1,2,1,2,2
8,1,2,24,2,1,4,5,8,typical,377,103,2,9,9,5,5,9
8,2,2,24,2,1,4,5,8,typical,365,122,3,5,5,5,5,9
8,3,2,24,2,1,4,5,8,typical,173,121,3,6,6,5,5,9
8,4,2,24,2,1,4,5,8,typical,354,144,2,6,6,6,6,9
8,5,2,24,2,1,4,5,8,typical,128,199,1,5,6,5,5,6
8,6,2,24,2,1,4,5,8,typical,365,315,2,3,5,5,5,5
8,7,2,24,2,1,4,5,8,typical,354,319,2,5,5,5,5,6
8,8,2,24,2,1,4,5,8,typical,128,323,3,5,5,5,5,6
8,9,2,24,2,1,4,5,8,typical,377,333,2,5,5,5,5,6
8,10,2,24,2,1,4,5,8,typical,173,338,3,5,5,5,6,6
8,11,2,24,2,1,4,5,8,typical,377,354,2,6,6,6,6,6
8,12,2,24,2,1,4,5,8,typical,365,367,3,5,5,5,5,5
8,13,2,24,2,1,4,5,8,typical,173,371,3,5,5,5,5,5
8,14,2,24,2,1,4,5,8,typical,128,380,1,5,5,5,5,7
8,15,2,24,2,1,4,5,8,typical,354,406,2,5,5,5,5,7
8,16,2,24,2,1,4,5,8,typical,354,413,3,5,5,5,5,5
8,17,2,24,2,1,4,5,8,typical,377,417,2,5,5,5,5,4
8,18,2,24,2,1,4,5,8,typical,365,437,2,5,5,5,5,5
8,19,2,24,2,1,4,5,8,typical,173,508,3,5,5,5,5,3
8,20,2,24,2,1,4,5,8,typical,128,663,3,5,5,5,5,2
9,1,1,33,2,1,4,4,7,typical,128,663,2,4,4,6,6,5
9,2,1,33,2,1,4,4,7,typical,173,508,2,4,4,6,6,5
9,3,1,33,2,1,4,4,7,typical,365,437,2,5,5,5,5,5
9,4,1,33,2,1,4,4,7,typical,377,417,2,5,5,6,6,6
9,5,1,33,2,1,4,4,7,typical,354,413,2,6,7,7,6,5
9,6,1,33,2,1,4,4,7,typical,354,406,1,5,6,6,6,6
9,7,1,33,2,1,4,4,7,typical,128,380,3,5,5,6,6,5
9,8,1,33,2,1,4,4,7,typical,173,371,3,6,6,6,6,6
9,9,1,33,2,1,4,4,7,typical,365,367,2,5,5,6,6,5
9,10,1,33,2,1,4,4,7,typical,377,354,2,7,7,6,6,6
9,11,1,33,2,1,4,4,7,typical,173,338,3,6,6,6,6,6
9,12,1,33,2,1,4,4,7,typical,377,333,3,5,6,6,6,6
9,13,1,33,2,1,4,4,7,typical,128,323,2,5,5,6,6,5
9,14,1,33,2,1,4,4,7,typical,354,319,2,5,5,6,6,5
9,15,1,33,2,1,4,4,7,typical,365,315,2,5,5,6,6,5
9,16,1,33,2,1,4,4,7,typical,128,199,2,6,6,6,6,6
9,17,1,33,2,1,4,4,7,typical,354,144,2,6,6,6,6,5
9,18,1,33,2,1,4,4,7,typical,173,121,2,5,6,6,6,6
9,19,1,33,2,1,4,4,7,typical,365,112,2,6,6,6,6,5
9,20,1,33,2,1,4,4,7,typical,377,103,2,6,6,6,6,5
10,1,1,47,1,1,4,2,5,atypical,128,663,2,6,6,6,6,6
10,2,1,47,1,1,4,2,5,atypical,173,508,3,6,6,6,6,6
10,3,1,47,1,1,4,2,5,atypical,365,437,3,6,6,6,6,6
10,4,1,47,1,1,4,2,5,atypical,377,417,3,6,6,6,6,6
10,5,1,47,1,1,4,2,5,atypical,354,413,2,8,8,8,8,8
10,6,1,47,1,1,4,2,5,atypical,354,406,3,8,8,8,8,8
10,7,1,47,1,1,4,2,5,atypical,128,380,3,8,8,8,8,8
10,8,1,47,1,1,4,2,5,atypical,173,371,2,8,8,8,8,8
10,9,1,47,1,1,4,2,5,atypical,365,367,3,8,8,8,8,8
10,10,1,47,1,1,4,2,5,atypical,377,354,1,8,8,8,8,8
10,11,1,47,1,1,4,2,5,atypical,173,338,3,8,8,8,8,8
10,12,1,47,1,1,4,2,5,atypical,377,333,3,8,8,8,8,8
10,13,1,47,1,1,4,2,5,atypical,128,323,1,8,8,8,8,8
10,14,1,47,1,1,4,2,5,atypical,354,319,1,8,8,8,8,8
10,15,1,47,1,1,4,2,5,atypical,365,315,1,7,7,7,7,7
10,16,1,47,1,1,4,2,5,atypical,128,199,1,8,8,8,8,8
10,17,1,47,1,1,4,2,5,atypical,354,144,2,8,8,8,8,8
10,18,1,47,1,1,4,2,5,atypical,173,121,2,8,8,8,8,8
